Date,WL
1/1/2017 0:00,16.54
1/2/2017 0:00,12.52
1/3/2017 0:00,16.51
1/4/2017 0:00,16.5
1/5/2017 0:00,16.49
1/6/2017 0:00,16.48
1/7/2017 0:00,16.47
1/8/2017 0:00,16.43
1/9/2017 0:00,16.38
1/10/2017 0:00,16.34
1/11/2017 0:00,16.32
1/12/2017 0:00,16.29
1/13/2017 0:00,16.27
1/14/2017 0:00,16.25
1/15/2017 0:00,16.24
1/16/2017 0:00,16.22
1/17/2017 0:00,16.2
1/18/2017 0:00,16.17
1/19/2017 0:00,16.14
1/20/2017 0:00,16.13
1/21/2017 0:00,16.12
1/22/2017 0:00,16.11
1/23/2017 0:00,16.08
1/24/2017 0:00,16.08
1/25/2017 0:00,16.07
1/26/2017 0:00,16.04
1/27/2017 0:00,16.02
1/28/2017 0:00,16
1/29/2017 0:00,15.97
1/30/2017 0:00,15.95
1/31/2017 0:00,15.94
2/1/2017 0:00,15.93
2/2/2017 0:00,15.92
2/3/2017 0:00,15.91
2/4/2017 0:00,15.89
2/5/2017 0:00,15.88
2/6/2017 0:00,15.86
2/7/2017 0:00,15.84
2/8/2017 0:00,15.82
2/9/2017 0:00,15.8
2/10/2017 0:00,15.79
2/11/2017 0:00,15.77
2/12/2017 0:00,15.75
2/13/2017 0:00,15.74
2/14/2017 0:00,15.72
2/15/2017 0:00,15.71
2/16/2017 0:00,15.71
2/17/2017 0:00,15.69
2/18/2017 0:00,15.68
2/19/2017 0:00,15.67
2/20/2017 0:00,15.66
2/21/2017 0:00,15.66
2/22/2017 0:00,15.66
2/23/2017 0:00,15.65
2/24/2017 0:00,15.65
2/25/2017 0:00,15.67
2/26/2017 0:00,15.7
2/27/2017 0:00,15.71
2/28/2017 0:00,15.72
3/1/2017 0:00,15.73
3/2/2017 0:00,15.75
3/3/2017 0:00,15.76
3/4/2017 0:00,15.9
3/5/2017 0:00,15.99
3/6/2017 0:00,15.99
3/7/2017 0:00,15.93
3/8/2017 0:00,15.89
3/9/2017 0:00,15.84
3/10/2017 0:00,15.81
3/11/2017 0:00,15.79
3/12/2017 0:00,15.87
3/13/2017 0:00,16.06
3/14/2017 0:00,16.32
3/15/2017 0:00,16.48
3/16/2017 0:00,16.45
3/17/2017 0:00,16.36
3/18/2017 0:00,16.31
3/19/2017 0:00,16.33
3/20/2017 0:00,16.36
3/21/2017 0:00,16.46
3/22/2017 0:00,16.54
3/23/2017 0:00,16.48
3/24/2017 0:00,16.44
3/25/2017 0:00,16.36
3/26/2017 0:00,16.4
3/27/2017 0:00,16.32
3/28/2017 0:00,16.31
3/29/2017 0:00,16.46
3/30/2017 0:00,16.4
3/31/2017 0:00,16.38
4/1/2017 0:00,16.35
4/2/2017 0:00,16.4
4/3/2017 0:00,16.5
4/4/2017 0:00,16.68
4/5/2017 0:00,17
4/6/2017 0:00,17.23
4/7/2017 0:00,17.4
4/8/2017 0:00,17.57
4/9/2017 0:00,17.83
4/10/2017 0:00,18.08
4/11/2017 0:00,18.12
4/12/2017 0:00,17.97
4/13/2017 0:00,17.8
4/14/2017 0:00,17.62
4/15/2017 0:00,17.52
4/16/2017 0:00,17.7
4/17/2017 0:00,17.88
4/18/2017 0:00,17.95
4/19/2017 0:00,17.83
4/20/2017 0:00,17.67
4/21/2017 0:00,17.54
4/22/2017 0:00,17.62
4/23/2017 0:00,17.58
4/24/2017 0:00,17.6
4/25/2017 0:00,17.62
4/26/2017 0:00,17.56
4/27/2017 0:00,17.58
4/28/2017 0:00,17.67
4/29/2017 0:00,17.81
4/30/2017 0:00,18.02
5/1/2017 0:00,18.35
5/2/2017 0:00,19.1
5/3/2017 0:00,19.63
5/4/2017 0:00,19.86
5/5/2017 0:00,19.59
5/6/2017 0:00,19.48
5/7/2017 0:00,19.38
5/8/2017 0:00,19.4
5/9/2017 0:00,19.4
5/10/2017 0:00,19.36
5/11/2017 0:00,19.32
5/12/2017 0:00,19.37
5/13/2017 0:00,19.41
5/14/2017 0:00,19.38
5/15/2017 0:00,19.2
5/16/2017 0:00,18.98
5/17/2017 0:00,18.92
5/18/2017 0:00,18.87
5/19/2017 0:00,18.78
5/20/2017 0:00,18.77
5/21/2017 0:00,18.77
5/22/2017 0:00,18.75
5/23/2017 0:00,18.79
5/24/2017 0:00,18.75
5/25/2017 0:00,18.83
5/26/2017 0:00,19.04
5/27/2017 0:00,19.36
5/28/2017 0:00,19.56
5/29/2017 0:00,19.69
5/30/2017 0:00,19.71
5/31/2017 0:00,19.72
6/1/2017 0:00,19.78
6/2/2017 0:00,19.76
6/3/2017 0:00,19.78
