date;temp;evap;prec
01-01-1980;-3.9;1.42;0.1
02-01-1980;-5.5;1.53;0
03-01-1980;-5.4;1.35;0
04-01-1980;-5.6;1.38;0
05-01-1980;-5;1.34;0.1
06-01-1980;-5.5;1.71;0
07-01-1980;-5;1.65;0
08-01-1980;-3.7;1.53;0
09-01-1980;-3.4;1.36;0
10-01-1980;-3.6;1.04;0
11-01-1980;-2.6;1.57;0
12-01-1980;-2.5;1.49;0
13-01-1980;-3.2;1.34;0.5
14-01-1980;-4.3;1.34;0
15-01-1980;-3.2;1.55;0
16-01-1980;-2.5;1.38;0
17-01-1980;-2.2;1.57;0
18-01-1980;-1.7;1.54;0.1
19-01-1980;-1.5;1.62;0
20-01-1980;-1.4;1.62;0.1
21-01-1980;-1.5;1.46;0
22-01-1980;-2.5;1.13;0
23-01-1980;-3.4;1.34;0.2
24-01-1980;-2.9;1.77;0
25-01-1980;-2;1.37;0
26-01-1980;-2.7;0.98;0.2
27-01-1980;-3.2;1.1;0.1
28-01-1980;-5;1.23;0
29-01-1980;-4.3;1.82;0
30-01-1980;-3.1;1.84;0
31-01-1980;-1.8;1.54;0
01-02-1980;-1.7;1.6;0
02-02-1980;-1.9;1.62;0
03-02-1980;-1.9;1.7;0
04-02-1980;-2.4;1.6;0
05-02-1980;-3.8;1.35;0
06-02-1980;-4.6;1.45;0.1
07-02-1980;-4;1.69;0
08-02-1980;-3.4;1.63;0
09-02-1980;-5;1.01;0
10-02-1980;-3;1.81;0
11-02-1980;-1.4;1.71;0
12-02-1980;-0.2;2.04;0
13-02-1980;-0.5;1.54;0
14-02-1980;-0.7;1.55;0.3
15-02-1980;-1.9;1.59;0.4
16-02-1980;-2.7;1.5;0.3
17-02-1980;-3.6;1.64;0.1
18-02-1980;-2.3;1.48;0
19-02-1980;-2.2;1.3;0.1
20-02-1980;-1.8;1.69;0.8
21-02-1980;0.4;1.94;0.2
22-02-1980;-0.5;1.54;0.5
23-02-1980;-1.2;1.07;0.6
24-02-1980;-3.2;1.59;0.1
25-02-1980;-0.5;2.22;0
26-02-1980;0.1;1.77;0.1
27-02-1980;-0.5;1.63;0.3
28-02-1980;-0.3;1.93;0.3
29-02-1980;-0.9;1.58;0.4
01-03-1980;-2.4;1.45;1.3
02-03-1980;-1.9;1.61;0.5
03-03-1980;-2.4;1.29;0.6
04-03-1980;-0.9;1.76;0.2
05-03-1980;-0.5;1.4;0.8
06-03-1980;-0.8;1.61;0.1
07-03-1980;0.4;2.24;0
08-03-1980;-0.6;2.05;0.5
09-03-1980;-1.7;2.26;0.1
10-03-1980;-0.7;2.36;0
11-03-1980;-1;2.27;0
12-03-1980;-1.3;2.32;0
13-03-1980;-0.5;2.32;0.1
14-03-1980;-1.1;1.85;0.8
15-03-1980;-0.7;1.63;0.7
16-03-1980;-0.6;1.75;1.2
17-03-1980;-0.1;2.1;0.2
18-03-1980;0.8;1.68;1.6
19-03-1980;1.7;1.97;0.5
20-03-1980;3.4;2.1;0
21-03-1980;2.8;1.7;1.6
22-03-1980;1.4;1.93;0.7
23-03-1980;2.1;2.35;0.5
24-03-1980;2.6;2.66;0.1
25-03-1980;3.3;2.73;0.3
26-03-1980;2.3;2.37;0.3
27-03-1980;3.2;2.85;0
28-03-1980;3.6;2.94;0
