Date;Qin;Prec;Evap;Seep;Qout
01-01-1980;133.50;0.83;0.44;0.39;1298.05
01-02-1980;145.50;1.46;1.18;0.71;1226.40
01-03-1980;247.37;1.72;2.13;0.04;377.66
01-04-1980;439.14;0.14;3.24;3.14;390.98
01-05-1980;247.16;0.85;3.40;3.24;197.83
01-06-1980;801.45;8.98;2.86;0.02;692.34
01-07-1980;2027.09;18.31;2.00;0.19;0.00
01-08-1980;2056.56;9.02;1.68;0.80;1466.12
01-09-1980;684.08;5.19;2.03;1.55;671.56
01-10-1980;155.72;0.45;1.33;0.89;1606.06
01-11-1980;47.31;0.00;0.55;0.18;525.92
01-12-1980;67.00;0.48;0.37;0.35;31.89
01-01-1981;165.02;1.66;0.49;0.18;112.81
01-02-1981;183.16;0.18;1.00;0.32;135.28
01-03-1981;366.05;1.59;2.00;0.96;322.64
01-04-1981;445.14;0.82;3.14;1.41;402.59
01-05-1981;587.56;1.39;3.37;2.08;530.07
01-06-1981;440.78;4.22;2.95;2.48;358.90
01-07-1981;1875.29;12.56;1.78;1.49;0.00
01-08-1981;1759.21;7.55;1.86;1.14;1004.97
01-09-1981;417.01;1.65;2.04;1.97;531.48
01-10-1981;170.96;0.00;1.25;0.15;1851.12
01-11-1981;224.84;2.18;0.59;0.47;268.76
01-12-1981;109.27;0.57;0.33;0.21;69.19
01-01-1982;218.56;1.32;0.40;0.01;156.73
01-02-1982;237.56;2.31;0.89;0.57;185.61
01-03-1982;520.47;5.29;1.99;1.27;456.67
01-04-1982;917.48;3.01;3.00;2.45;379.68
01-05-1982;591.14;0.96;3.09;1.20;678.51
01-06-1982;636.47;3.74;2.76;1.58;795.48
01-07-1982;1311.91;11.56;1.83;0.95;453.04
01-08-1982;1981.29;15.60;1.73;0.97;253.39
01-09-1982;495.30;1.05;1.90;0.71;478.75
01-10-1982;144.62;0.06;1.13;0.34;1845.48
01-11-1982;73.94;0.00;0.61;0.10;184.57
01-12-1982;138.74;2.27;0.33;0.31;84.39
01-01-1983;250.08;2.92;0.47;0.19;184.38
01-02-1983;205.75;0.64;0.90;0.85;157.16
01-03-1983;487.85;2.28;2.10;0.67;434.73
01-04-1983;669.67;6.68;2.81;1.07;382.83
01-05-1983;881.26;0.89;3.52;2.39;451.17
01-06-1983;389.83;2.77;2.63;0.32;829.85
01-07-1983;1146.87;8.53;1.82;1.45;160.24
01-08-1983;1449.33;9.39;1.86;0.73;0.00
01-09-1983;1167.07;9.87;2.17;1.54;962.14
01-10-1983;424.99;3.06;1.13;0.78;795.14
01-11-1983;116.45;0.02;0.44;0.41;1737.88
01-12-1983;74.36;0.27;0.21;0.17;53.11
01-01-1984;89.41;0.87;0.34;0.34;57.41
01-02-1984;225.82;3.43;0.94;0.11;163.28
01-03-1984;275.63;0.22;2.21;2.17;212.45
01-04-1984;205.43;0.40;2.96;0.85;156.25
01-05-1984;141.57;0.19;3.59;1.72;102.48
01-06-1984;681.01;12.39;3.29;0.27;185.27
01-07-1984;1206.35;11.60;1.98;1.76;0.00
01-08-1984;858.69;10.79;1.73;1.57;0.00
01-09-1984;739.39;4.37;1.93;0.24;555.00
01-10-1984;132.45;0.01;1.06;0.19;1850.08
01-11-1984;56.57;0.01;0.49;0.31;307.02
01-12-1984;72.89;2.35;0.26;0.21;51.62
01-01-1985;745.76;0.63;0.42;0.10;676.86
01-02-1985;152.75;0.28;1.00;0.39;105.49
01-03-1985;501.89;0.05;2.28;0.95;455.18
01-04-1985;451.94;3.00;3.10;1.77;409.25
01-05-1985;347.41;1.13;3.40;1.56;294.92
01-06-1985;444.68;2.73;3.00;0.12;328.58
01-07-1985;3004.77;19.04;2.01;0.62;390.73
01-08-1985;1863.87;24.45;1.81;0.91;1870.31
01-09-1985;1189.79;8.00;2.12;0.97;1179.98
01-10-1985;877.62;5.38;1.52;0.04;491.75
01-11-1985;136.85;0.16;0.59;0.48;1300.36
01-12-1985;263.43;1.09;0.28;0.25;1350.72
01-01-1986;228.99;0.09;0.28;0.11;203.04
01-02-1986;176.43;2.14;0.99;0.28;126.74
01-03-1986;400.47;2.71;2.19;1.67;349.99
01-04-1986;718.60;1.58;3.05;0.44;481.15
01-05-1986;774.95;3.96;3.33;1.20;494.94
01-06-1986;786.85;3.80;2.98;2.36;776.65
01-07-1986;1931.91;13.86;1.78;1.27;14.21
01-08-1986;1833.13;14.97;1.46;1.01;1397.16
01-09-1986;517.26;6.75;1.84;0.34;506.49
01-10-1986;379.20;1.85;1.30;1.21;2006.26
01-11-1986;89.80;0.00;0.47;0.25;462.87
01-12-1986;327.97;2.74;0.26;0.19;260.64
01-01-1987;167.30;0.96;0.42;0.28;119.88
01-02-1987;242.18;1.45;1.02;0.93;182.41
01-03-1987;353.93;0.66;2.14;1.04;290.62
01-04-1987;456.53;1.39;2.95;0.51;412.76
01-05-1987;1003.61;3.58;3.45;3.00;75.00
01-06-1987;517.82;3.07;2.90;2.53;1213.62
01-07-1987;842.10;3.70;1.54;1.42;455.13
01-08-1987;1086.78;9.84;1.27;0.18;433.74
01-09-1987;698.07;2.56;1.80;1.64;643.42
01-10-1987;167.49;0.40;1.01;0.49;856.17
01-11-1987;65.19;0.00;0.58;0.20;32.31
01-12-1987;73.80;0.50;0.36;0.32;35.26
01-01-1988;105.91;0.39;0.42;0.37;61.70
01-02-1988;224.42;1.88;1.16;1.12;123.81
01-03-1988;962.37;3.73;2.17;0.41;492.92
01-04-1988;574.23;1.30;3.03;0.24;428.59
01-05-1988;536.85;1.00;3.47;1.26;765.07
01-06-1988;565.19;5.72;2.79;1.64;464.47
01-07-1988;2469.04;16.47;1.02;0.22;110.08
01-08-1988;2616.94;14.01;1.85;0.69;2359.13
01-09-1988;991.66;7.53;1.97;1.94;981.54
01-10-1988;216.95;0.02;1.10;0.33;1671.89
01-11-1988;65.52;0.00;0.52;0.29;650.74
01-12-1988;288.16;0.99;0.26;0.19;204.91
01-01-1989;517.21;3.29;0.41;0.06;437.36
01-02-1989;153.44;1.03;0.86;0.54;111.74
01-03-1989;295.18;0.90;2.12;1.08;239.34
01-04-1989;305.54;0.07;2.85;0.50;264.55
01-05-1989;407.16;0.80;3.25;1.52;350.44
01-06-1989;665.62;5.15;2.69;2.11;558.60
01-07-1989;1618.18;18.86;1.72;0.83;600.78
01-08-1989;2334.89;16.52;1.52;0.06;739.61
01-09-1989;1286.66;8.20;2.04;1.79;1277.13
