id;DATE;UPAZILLACODE;CROPTYPEID;AREAAFFECTED [ha];LOSSTYPE [];18
1;2001-01-01;100409;1;72;1;43
2;2001-01-01;100419;1;41;1;38
3;2001-01-01;100428;1;41;1;72
4;2001-01-01;100447;1;87;1;89
5;2001-01-01;100485;1;86;1;55
6;2001-01-01;100602;1;55;1;80
7;2001-01-01;100603;1;47;1;49
8;2001-01-01;100607;1;59;1;79
9;2001-01-01;100610;1;69;1;81
10;2001-01-01;100632;1;94;1;61
11;2001-01-01;100636;1;3;1;42
12;2001-01-01;100651;1;19;1;91
13;2001-01-01;100662;1;30;1;98
14;2001-01-01;100669;1;71;1;64
15;2001-01-01;100694;1;41;1;63
16;2001-01-01;100918;1;74;1;59
17;2001-01-01;100921;1;38;1;40
18;2001-01-01;100925;1;48;1;19
19;2001-01-01;100929;1;16;1;91
20;2001-01-01;100954;1;23;1;77
21;2001-01-01;100965;1;29;1;66
22;2001-01-01;100991;1;62;1;92
23;2001-01-01;104240;1;27;1;55
24;2001-01-01;104243;1;5;1;12
25;2001-01-01;104273;1;39;1;10
26;2001-01-01;104284;1;99;1;36
27;2001-01-01;107838;1;47;1;21
28;2001-01-01;107852;1;14;1;23
29;2001-01-01;107855;1;22;1;24
30;2001-01-01;107857;1;79;1;75
31;2001-01-01;107866;1;58;1;100
32;2001-01-01;107876;1;82;1;83
33;2001-01-01;107895;1;62;1;29
34;2001-01-01;107914;1;55;1;70
35;2001-01-01;107947;1;58;1;60
36;2001-01-01;107958;1;18;1;13
37;2001-01-01;107976;1;78;1;36
38;2001-01-01;107980;1;34;1;43
39;2001-01-01;107987;1;40;1;2
40;2001-01-01;107990;1;84;1;34
41;2001-01-01;200304;1;95;1;41
42;2001-01-01;200314;1;12;1;23
43;2001-01-01;200351;1;51;1;12
44;2001-01-01;200373;1;13;1;52
45;2001-01-01;200389;1;92;1;90
46;2001-01-01;200391;1;28;1;36
47;2001-01-01;200395;1;11;1;86
48;2001-01-01;201202;1;9;1;47
49;2001-01-01;201204;1;27;1;73
50;2001-01-01;201207;1;31;1;20
51;2001-01-01;201213;1;34;1;8
52;2001-01-01;201233;1;21;1;21
53;2001-01-01;201263;1;52;1;41
54;2001-01-01;201285;1;87;1;33
55;2001-01-01;201290;1;48;1;61
56;2001-01-01;201294;1;28;1;27
57;2001-01-01;201322;1;47;1;15
58;2001-01-01;201345;1;97;1;92
59;2001-01-01;201347;1;79;1;9
60;2001-01-01;201349;1;55;1;20
61;2001-01-01;201358;1;80;1;46
62;2001-01-01;201376;1;44;1;10
63;2001-01-01;201379;1;27;1;1
64;2001-01-01;201395;1;85;1;88
65;2001-01-01;201504;1;58;1;34
66;2001-01-01;201506;1;76;1;59
67;2001-01-01;201508;1;18;1;25
68;2001-01-01;201510;1;34;1;74
69;2001-01-01;201512;1;89;1;54
70;2001-01-01;201518;1;25;1;93
71;2001-01-01;201519;1;22;1;13
72;2001-01-01;201520;1;85;1;25
73;2001-01-01;201528;1;51;1;97
74;2001-01-01;201533;1;99;1;78
75;2001-01-01;201535;1;19;1;58
76;2001-01-01;201537;1;41;1;15
77;2001-01-01;201541;1;99;1;94
78;2001-01-01;201543;1;53;1;45
79;2001-01-01;201547;1;12;1;55
80;2001-01-01;201553;1;21;1;71
81;2001-01-01;201555;1;30;1;39
82;2001-01-01;201557;1;75;1;14
83;2001-01-01;201561;1;75;1;64
84;2001-01-01;201565;1;77;1;77
85;2001-01-01;201570;1;76;1;99
86;2001-01-01;201574;1;53;1;33
87;2001-01-01;201578;1;79;1;45
88;2001-01-01;201582;1;14;1;39
89;2001-01-01;201586;1;7;1;36
90;2001-01-01;201909;1;94;1;72
91;2001-01-01;201915;1;37;1;21
92;2001-01-01;201918;1;39;1;34
93;2001-01-01;201927;1;44;1;10
94;2001-01-01;201931;1;74;1;20
95;2001-01-01;201933;1;97;1;37
96;2001-01-01;201936;1;16;1;93
97;2001-01-01;201940;1;23;1;28
98;2001-01-01;201954;1;81;1;23
99;2001-01-01;201967;1;94;1;97
100;2001-01-01;201972;1;71;1;48
101;2001-01-01;201974;1;26;1;9
102;2001-01-01;201975;1;56;1;80
103;2001-01-01;201981;1;41;1;53
104;2001-01-01;201987;1;100;1;17
105;2001-01-01;201994;1;16;1;66
106;2001-01-01;202216;1;48;1;68
107;2001-01-01;202224;1;38;1;68
108;2001-01-01;202245;1;4;1;98
109;2001-01-01;202249;1;73;1;45
110;2001-01-01;202256;1;80;1;95
111;2001-01-01;202266;1;67;1;43
112;2001-01-01;202290;1;33;1;4
113;2001-01-01;202294;1;4;1;35
114;2001-01-01;203014;1;59;1;16
115;2001-01-01;203025;1;76;1;71
116;2001-01-01;203029;1;100;1;16
117;2001-01-01;203041;1;61;1;12
118;2001-01-01;203051;1;42;1;3
119;2001-01-01;203094;1;62;1;87
120;2001-01-01;204643;1;44;1;37
121;2001-01-01;204649;1;81;1;87
122;2001-01-01;204661;1;52;1;64
123;2001-01-01;204665;1;54;1;92
124;2001-01-01;204667;1;85;1;81
125;2001-01-01;204670;1;47;1;85
126;2001-01-01;204677;1;90;1;65
127;2001-01-01;204680;1;90;1;33
128;2001-01-01;205133;1;25;1;19
129;2001-01-01;205143;1;91;1;13
130;2001-01-01;205158;1;97;1;82
131;2001-01-01;205165;1;38;1;75
132;2001-01-01;205173;1;90;1;40
133;2001-01-01;207507;1;4;1;71
134;2001-01-01;207510;1;98;1;63
135;2001-01-01;207521;1;79;1;72
136;2001-01-01;207536;1;22;1;55
137;2001-01-01;207547;1;13;1;30
138;2001-01-01;207580;1;12;1;54
139;2001-01-01;207583;1;48;1;59
140;2001-01-01;207585;1;56;1;62
141;2001-01-01;207587;1;32;1;93
142;2001-01-01;208407;1;49;1;59
143;2001-01-01;208421;1;46;1;50
144;2001-01-01;208425;1;64;1;55
145;2001-01-01;208429;1;97;1;15
146;2001-01-01;208436;1;8;1;46
147;2001-01-01;208447;1;16;1;53
148;2001-01-01;208458;1;96;1;83
149;2001-01-01;208475;1;43;1;62
150;2001-01-01;208478;1;10;1;73
151;2001-01-01;208487;1;57;1;67
152;2001-01-01;302602;1;91;1;32
153;2001-01-01;302604;1;49;1;84
154;2001-01-01;302605;1;28;1;15
155;2001-01-01;302606;1;5;1;86
156;2001-01-01;302608;1;47;1;19
157;2001-01-01;302609;1;25;1;16
158;2001-01-01;302610;1;39;1;12
159;2001-01-01;302611;1;92;1;52
160;2001-01-01;302612;1;57;1;35
161;2001-01-01;302614;1;53;1;49
162;2001-01-01;302616;1;94;1;92
163;2001-01-01;302618;1;61;1;77
164;2001-01-01;302624;1;20;1;23
165;2001-01-01;302626;1;78;1;57
166;2001-01-01;302628;1;33;1;16
167;2001-01-01;302629;1;34;1;83
168;2001-01-01;302630;1;58;1;37
169;2001-01-01;302632;1;1;1;72
170;2001-01-01;302633;1;11;1;91
171;2001-01-01;302634;1;89;1;81
172;2001-01-01;302636;1;75;1;18
173;2001-01-01;302637;1;45;1;65
174;2001-01-01;302638;1;98;1;40
175;2001-01-01;302640;1;54;1;35
176;2001-01-01;302642;1;25;1;12
177;2001-01-01;302648;1;21;1;45
178;2001-01-01;302650;1;32;1;5
179;2001-01-01;302654;1;30;1;89
180;2001-01-01;302662;1;76;1;16
181;2001-01-01;302663;1;78;1;56
182;2001-01-01;302664;1;93;1;36
183;2001-01-01;302665;1;29;1;64
184;2001-01-01;302666;1;6;1;18
185;2001-01-01;302667;1;53;1;1
186;2001-01-01;302668;1;16;1;51
187;2001-01-01;302672;1;38;1;30
188;2001-01-01;302674;1;73;1;13
189;2001-01-01;302675;1;52;1;29
190;2001-01-01;302676;1;3;1;91
191;2001-01-01;302680;1;31;1;82
192;2001-01-01;302688;1;38;1;62
193;2001-01-01;302690;1;60;1;89
194;2001-01-01;302692;1;61;1;11
195;2001-01-01;302693;1;32;1;80
196;2001-01-01;302695;1;85;1;82
197;2001-01-01;302696;1;59;1;37
198;2001-01-01;302903;1;20;1;15
199;2001-01-01;302910;1;16;1;58
200;2001-01-01;302918;1;57;1;38
201;2001-01-01;302921;1;74;1;40
202;2001-01-01;302947;1;2;1;31
203;2001-01-01;302956;1;92;1;85
204;2001-01-01;302962;1;95;1;5
205;2001-01-01;302984;1;68;1;67
206;2001-01-01;302990;1;4;1;1
207;2001-01-01;303330;1;72;1;2
208;2001-01-01;303332;1;39;1;55
209;2001-01-01;303334;1;38;1;41
210;2001-01-01;303336;1;47;1;9
211;2001-01-01;303386;1;24;1;77
212;2001-01-01;303532;1;86;1;76
213;2001-01-01;303543;1;59;1;50
214;2001-01-01;303551;1;33;1;55
215;2001-01-01;303558;1;47;1;96
216;2001-01-01;303591;1;38;1;75
217;2001-01-01;303907;1;62;1;24
218;2001-01-01;303915;1;68;1;4
219;2001-01-01;303929;1;81;1;25
220;2001-01-01;303936;1;87;1;80
221;2001-01-01;303958;1;7;1;21
222;2001-01-01;303961;1;2;1;91
223;2001-01-01;303985;1;47;1;27
224;2001-01-01;304802;1;54;1;19
225;2001-01-01;304806;1;15;1;74
226;2001-01-01;304811;1;80;1;41
227;2001-01-01;304827;1;40;1;82
228;2001-01-01;304833;1;50;1;48
229;2001-01-01;304842;1;46;1;49
230;2001-01-01;304845;1;53;1;59
231;2001-01-01;304849;1;19;1;59
232;2001-01-01;304854;1;12;1;8
233;2001-01-01;304859;1;37;1;4
234;2001-01-01;304876;1;38;1;71
235;2001-01-01;304879;1;51;1;44
236;2001-01-01;304892;1;48;1;19
237;2001-01-01;305440;1;35;1;79
238;2001-01-01;305454;1;11;1;74
239;2001-01-01;305480;1;59;1;1
240;2001-01-01;305487;1;83;1;12
241;2001-01-01;305610;1;6;1;91
242;2001-01-01;305622;1;79;1;12
243;2001-01-01;305628;1;96;1;91
244;2001-01-01;305646;1;63;1;30
245;2001-01-01;305670;1;15;1;90
246;2001-01-01;305678;1;34;1;10
247;2001-01-01;305682;1;9;1;53
248;2001-01-01;305924;1;57;1;5
249;2001-01-01;305944;1;54;1;62
250;2001-01-01;305956;1;94;1;12
251;2001-01-01;305974;1;26;1;64
252;2001-01-01;305984;1;57;1;42
253;2001-01-01;305994;1;92;1;2
254;2001-01-01;306113;1;20;1;5
255;2001-01-01;306116;1;12;1;35
256;2001-01-01;306120;1;53;1;91
257;2001-01-01;306122;1;51;1;31
258;2001-01-01;306123;1;100;1;50
259;2001-01-01;306124;1;43;1;38
260;2001-01-01;306131;1;17;1;82
261;2001-01-01;306152;1;27;1;100
262;2001-01-01;306165;1;84;1;78
263;2001-01-01;306172;1;3;1;17
264;2001-01-01;306181;1;13;1;49
265;2001-01-01;306194;1;37;1;89
266;2001-01-01;306702;1;3;1;66
267;2001-01-01;306704;1;62;1;25
268;2001-01-01;306706;1;14;1;86
269;2001-01-01;306758;1;35;1;56
270;2001-01-01;306768;1;98;1;49
271;2001-01-01;306807;1;70;1;65
272;2001-01-01;306852;1;99;1;46
273;2001-01-01;306860;1;24;1;30
274;2001-01-01;306863;1;69;1;16
275;2001-01-01;306864;1;20;1;11
276;2001-01-01;306876;1;29;1;19
277;2001-01-01;307204;1;52;1;89
278;2001-01-01;307209;1;76;1;66
279;2001-01-01;307218;1;93;1;55
