id,DATE,UPAZILLACODE,CROPTYPEID,AREAAFFECTED [ha],LOSSTYPE [],LOSS [MT]
1,2001-01-01,100409,1,10,1,100
2,2001-01-01,100419,1,25,1,200
3,2001-01-01,100428,1,50,1,5
4,2001-01-01,100447,1,97,1,73
5,2001-01-01,100485,1,71,1,15
6,2001-01-01,100602,1,26,1,27
7,2001-01-01,100603,1,50,1,42
8,2001-01-01,100607,1,44,1,38
9,2001-01-01,100610,1,14,1,4
10,2001-01-01,100632,1,6,1,4
11,2001-01-01,100636,1,93,1,14
12,2001-01-01,100651,1,15,1,60
13,2001-01-01,100662,1,34,1,2
14,2001-01-01,100669,1,66,1,36
15,2001-01-01,100694,1,45,1,3
16,2001-01-01,100918,1,96,1,77
17,2001-01-01,100921,1,62,1,38
18,2001-01-01,100925,1,81,1,93
19,2001-01-01,100929,1,11,1,4
20,2001-01-01,100954,1,59,1,44
21,2001-01-01,100965,1,44,1,83
22,2001-01-01,100991,1,44,1,54
23,2001-01-01,104240,1,97,1,68
24,2001-01-01,104243,1,56,1,13
25,2001-01-01,104273,1,72,1,6
26,2001-01-01,104284,1,19,1,7
27,2001-01-01,107838,1,76,1,19
28,2001-01-01,107852,1,92,1,43
29,2001-01-01,107855,1,98,1,88
30,2001-01-01,107857,1,60,1,53
31,2001-01-01,107866,1,50,1,71
32,2001-01-01,107876,1,55,1,68
33,2001-01-01,107895,1,59,1,61
34,2001-01-01,107914,1,22,1,25
35,2001-01-01,107947,1,83,1,48
36,2001-01-01,107958,1,40,1,31
37,2001-01-01,107976,1,5,1,48
38,2001-01-01,107980,1,4,1,67
39,2001-01-01,107987,1,21,1,69
40,2001-01-01,107990,1,26,1,98
41,2001-01-01,200304,1,52,1,69
42,2001-01-01,200314,1,35,1,39
43,2001-01-01,200351,1,39,1,2
44,2001-01-01,200373,1,61,1,99
45,2001-01-01,200389,1,6,1,83
46,2001-01-01,200391,1,18,1,98
47,2001-01-01,200395,1,55,1,79
48,2001-01-01,201202,1,46,1,90
49,2001-01-01,201204,1,73,1,10
50,2001-01-01,201207,1,54,1,88
51,2001-01-01,201213,1,1,1,10
52,2001-01-01,201233,1,84,1,20
53,2001-01-01,201263,1,2,1,40
54,2001-01-01,201285,1,78,1,4
55,2001-01-01,201290,1,77,1,9
56,2001-01-01,201294,1,87,1,22
57,2001-01-01,201322,1,50,1,37
58,2001-01-01,201345,1,44,1,55
59,2001-01-01,201347,1,31,1,40
60,2001-01-01,201349,1,26,1,32
61,2001-01-01,201358,1,97,1,85
62,2001-01-01,201376,1,14,1,92
63,2001-01-01,201379,1,32,1,51
64,2001-01-01,201395,1,70,1,19
65,2001-01-01,201504,1,100,1,81
66,2001-01-01,201506,1,89,1,31
67,2001-01-01,201508,1,99,1,46
68,2001-01-01,201510,1,99,1,81
69,2001-01-01,201512,1,98,1,38
70,2001-01-01,201518,1,21,1,2
71,2001-01-01,201519,1,59,1,41
72,2001-01-01,201520,1,6,1,90
73,2001-01-01,201528,1,58,1,56
74,2001-01-01,201533,1,39,1,78
75,2001-01-01,201535,1,50,1,35
76,2001-01-01,201537,1,46,1,20
77,2001-01-01,201541,1,16,1,63
78,2001-01-01,201543,1,30,1,16
79,2001-01-01,201547,1,75,1,14
80,2001-01-01,201553,1,75,1,85
81,2001-01-01,201555,1,7,1,63
82,2001-01-01,201557,1,67,1,17
83,2001-01-01,201561,1,99,1,89
84,2001-01-01,201565,1,70,1,59
85,2001-01-01,201570,1,57,1,62
86,2001-01-01,201574,1,9,1,40
87,2001-01-01,201578,1,99,1,100
88,2001-01-01,201582,1,8,1,83
89,2001-01-01,201586,1,20,1,85
90,2001-01-01,201909,1,13,1,80
91,2001-01-01,201915,1,20,1,59
92,2001-01-01,201918,1,68,1,50
93,2001-01-01,201927,1,38,1,68
94,2001-01-01,201931,1,9,1,97
95,2001-01-01,201933,1,35,1,30
96,2001-01-01,201936,1,44,1,92
97,2001-01-01,201940,1,52,1,97
98,2001-01-01,201954,1,35,1,84
99,2001-01-01,201967,1,59,1,77
100,2001-01-01,201972,1,35,1,15
101,2001-01-01,201974,1,21,1,20
102,2001-01-01,201975,1,13,1,24
103,2001-01-01,201981,1,82,1,52
104,2001-01-01,201987,1,51,1,1
105,2001-01-01,201994,1,17,1,12
106,2001-01-01,202216,1,75,1,33
107,2001-01-01,202224,1,94,1,9
108,2001-01-01,202245,1,72,1,46
109,2001-01-01,202249,1,49,1,68
110,2001-01-01,202256,1,14,1,65
111,2001-01-01,202266,1,56,1,11
112,2001-01-01,202290,1,12,1,60
113,2001-01-01,202294,1,6,1,34
114,2001-01-01,203014,1,28,1,77
115,2001-01-01,203025,1,30,1,61
116,2001-01-01,203029,1,38,1,30
117,2001-01-01,203041,1,46,1,91
118,2001-01-01,203051,1,64,1,25
119,2001-01-01,203094,1,31,1,2
120,2001-01-01,204643,1,16,1,4
121,2001-01-01,204649,1,66,1,86
122,2001-01-01,204661,1,54,1,94
123,2001-01-01,204665,1,4,1,78
124,2001-01-01,204667,1,90,1,67
125,2001-01-01,204670,1,24,1,21
126,2001-01-01,204677,1,43,1,84
127,2001-01-01,204680,1,1,1,30
128,2001-01-01,205133,1,24,1,2
129,2001-01-01,205143,1,77,1,26
130,2001-01-01,205158,1,80,1,82
131,2001-01-01,205165,1,35,1,71
