id;DATE;UPAZILLACODE;CROPTYPEID;AREAAFFECTED [ha];LOSSTYPE [];Run_code
1;1-1-2001;100409;1;72;1;1
2;1-1-2001;100419;1;41;1;1
3;1-1-2001;100428;1;41;1;1
4;1-1-2001;100447;1;87;1;1
5;1-1-2001;100485;1;86;1;1
6;1-1-2001;100602;1;55;1;1
7;1-1-2001;100603;1;47;1;1
8;1-1-2001;100607;1;59;1;1
9;1-1-2001;100610;1;69;1;1
10;1-1-2001;100632;1;94;1;1
11;1-1-2001;100636;1;3;1;1
12;1-1-2001;100651;1;19;1;1
13;1-1-2001;100662;1;30;1;1
14;1-1-2001;100669;1;71;1;1
15;1-1-2001;100694;1;41;1;1
16;1-1-2001;100918;1;74;1;1
17;1-1-2001;100921;1;38;1;1
18;1-1-2001;100925;1;48;1;1
19;1-1-2001;100929;1;16;1;1
20;1-1-2001;100954;1;23;1;1
21;1-1-2001;100965;1;29;1;1
22;1-1-2001;100991;1;62;1;1
23;1-1-2001;104240;1;27;1;1
24;1-1-2001;104243;1;5;1;1
25;1-1-2001;104273;1;39;1;1
26;1-1-2001;104284;1;99;1;1
27;1-1-2001;107838;1;47;1;1
28;1-1-2001;107852;1;14;1;1
29;1-1-2001;107855;1;22;1;1
30;1-1-2001;107857;1;79;1;1
31;1-1-2001;107866;1;58;1;1
32;1-1-2001;107876;1;82;1;1
33;1-1-2001;107895;1;62;1;1
34;1-1-2001;107914;1;55;1;1
35;1-1-2001;107947;1;58;1;1
36;1-1-2001;107958;1;18;1;1
37;1-1-2001;107976;1;78;1;1
38;1-1-2001;107980;1;34;1;1
39;1-1-2001;107987;1;40;1;1
40;1-1-2001;107990;1;84;1;1
41;1-1-2001;200304;1;95;1;1
42;1-1-2001;200314;1;12;1;1
43;1-1-2001;200351;1;51;1;1
44;1-1-2001;200373;1;13;1;1
45;1-1-2001;200389;1;92;1;1
46;1-1-2001;200391;1;28;1;1
47;1-1-2001;200395;1;11;1;1
48;1-1-2001;201202;1;9;1;1
49;1-1-2001;201204;1;27;1;1
50;1-1-2001;201207;1;31;1;1
51;1-1-2001;201213;1;34;1;1
52;1-1-2001;201233;1;21;1;1
53;1-1-2001;201263;1;52;1;1
54;1-1-2001;201285;1;87;1;1
55;1-1-2001;201290;1;48;1;1
56;1-1-2001;201294;1;28;1;1
57;1-1-2001;201322;1;47;1;1
58;1-1-2001;201345;1;97;1;1
59;1-1-2001;201347;1;79;1;1
60;1-1-2001;201349;1;55;1;1
61;1-1-2001;201358;1;80;1;1
62;1-1-2001;201376;1;44;1;1
63;1-1-2001;201379;1;27;1;1
64;1-1-2001;201395;1;85;1;1
65;1-1-2001;201504;1;58;1;1
66;1-1-2001;201506;1;76;1;1
67;1-1-2001;201508;1;18;1;1
68;1-1-2001;201510;1;34;1;1
69;1-1-2001;201512;1;89;1;1
70;1-1-2001;201518;1;25;1;1
71;1-1-2001;201519;1;22;1;1
72;1-1-2001;201520;1;85;1;1
73;1-1-2001;201528;1;51;1;1
74;1-1-2001;201533;1;99;1;1
75;1-1-2001;201535;1;19;1;1
76;1-1-2001;201537;1;41;1;1
77;1-1-2001;201541;1;99;1;1
78;1-1-2001;201543;1;53;1;1
79;1-1-2001;201547;1;12;1;1
80;1-1-2001;201553;1;21;1;1
81;1-1-2001;201555;1;30;1;1
82;1-1-2001;201557;1;75;1;1
83;1-1-2001;201561;1;75;1;1
84;1-1-2001;201565;1;77;1;1
85;1-1-2001;201570;1;76;1;1
86;1-1-2001;201574;1;53;1;1
87;1-1-2001;201578;1;79;1;1
88;1-1-2001;201582;1;14;1;1
89;1-1-2001;201586;1;7;1;1
90;1-1-2001;201909;1;94;1;1
91;1-1-2001;201915;1;37;1;1
92;1-1-2001;201918;1;39;1;1
93;1-1-2001;201927;1;44;1;1
94;1-1-2001;201931;1;74;1;1
95;1-1-2001;201933;1;97;1;1
96;1-1-2001;201936;1;16;1;1
97;1-1-2001;201940;1;23;1;1
98;1-1-2001;201954;1;81;1;1
99;1-1-2001;201967;1;94;1;1
100;1-1-2001;201972;1;71;1;1
101;1-1-2001;201974;1;26;1;1
102;1-1-2001;201975;1;56;1;1
103;1-1-2001;201981;1;41;1;1
104;1-1-2001;201987;1;100;1;1
105;1-1-2001;201994;1;16;1;1
106;1-1-2001;202216;1;48;1;1
107;1-1-2001;202224;1;38;1;1
108;1-1-2001;202245;1;4;1;1
109;1-1-2001;202249;1;73;1;1
110;1-1-2001;202256;1;80;1;1
111;1-1-2001;202266;1;67;1;1
112;1-1-2001;202290;1;33;1;1
113;1-1-2001;202294;1;4;1;1
114;1-1-2001;203014;1;59;1;1
115;1-1-2001;203025;1;76;1;1
116;1-1-2001;203029;1;100;1;1
117;1-1-2001;203041;1;61;1;1
118;1-1-2001;203051;1;42;1;1
119;1-1-2001;203094;1;62;1;1
120;1-1-2001;204643;1;44;1;1
121;1-1-2001;204649;1;81;1;1
122;1-1-2001;204661;1;52;1;1
123;1-1-2001;204665;1;54;1;1
124;1-1-2001;204667;1;85;1;1
125;1-1-2001;204670;1;47;1;1
126;1-1-2001;204677;1;90;1;1
127;1-1-2001;204680;1;90;1;1
128;1-1-2001;205133;1;25;1;1
129;1-1-2001;205143;1;91;1;1
130;1-1-2001;205158;1;97;1;1
131;1-1-2001;205165;1;38;1;1
132;1-1-2001;205173;1;90;1;1
133;1-1-2001;207507;1;4;1;1
134;1-1-2001;207510;1;98;1;1
135;1-1-2001;207521;1;79;1;1
136;1-1-2001;207536;1;22;1;1
137;1-1-2001;207547;1;13;1;1
138;1-1-2001;207580;1;12;1;1
139;1-1-2001;207583;1;48;1;1
140;1-1-2001;207585;1;56;1;1
141;1-1-2001;207587;1;32;1;1
142;1-1-2001;208407;1;49;1;1
143;1-1-2001;208421;1;46;1;1
144;1-1-2001;208425;1;64;1;1
145;1-1-2001;208429;1;97;1;1
146;1-1-2001;208436;1;8;1;1
147;1-1-2001;208447;1;16;1;1
148;1-1-2001;208458;1;96;1;1
149;1-1-2001;208475;1;43;1;1
150;1-1-2001;208478;1;10;1;1
151;1-1-2001;208487;1;57;1;1
152;1-1-2001;302602;1;91;1;1
153;1-1-2001;302604;1;49;1;1
154;1-1-2001;302605;1;28;1;1
155;1-1-2001;302606;1;5;1;1
156;1-1-2001;302608;1;47;1;1
157;1-1-2001;302609;1;25;1;1
158;1-1-2001;302610;1;39;1;1
159;1-1-2001;302611;1;92;1;1
160;1-1-2001;302612;1;57;1;1
161;1-1-2001;302614;1;53;1;1
162;1-1-2001;302616;1;94;1;1
163;1-1-2001;302618;1;61;1;1
164;1-1-2001;302624;1;20;1;1
165;1-1-2001;302626;1;78;1;1
166;1-1-2001;302628;1;33;1;1
167;1-1-2001;302629;1;34;1;1
168;1-1-2001;302630;1;58;1;1
169;1-1-2001;302632;1;1;1;1
170;1-1-2001;302633;1;11;1;1
171;1-1-2001;302634;1;89;1;1
172;1-1-2001;302636;1;75;1;1
173;1-1-2001;302637;1;45;1;1
174;1-1-2001;302638;1;98;1;1
175;1-1-2001;302640;1;54;1;1
176;1-1-2001;302642;1;25;1;1
177;1-1-2001;302648;1;21;1;1
178;1-1-2001;302650;1;32;1;1
179;1-1-2001;302654;1;30;1;1
180;1-1-2001;302662;1;76;1;1
181;1-1-2001;302663;1;78;1;1
182;1-1-2001;302664;1;93;1;1
183;1-1-2001;302665;1;29;1;1
184;1-1-2001;302666;1;6;1;1
185;1-1-2001;302667;1;53;1;1
186;1-1-2001;302668;1;16;1;1
187;1-1-2001;302672;1;38;1;1
188;1-1-2001;302674;1;73;1;1
189;1-1-2001;302675;1;52;1;1
190;1-1-2001;302676;1;3;1;1
191;1-1-2001;302680;1;31;1;1
