DATE;N1;N2;N3
01-01-1980;13151;143;6
01-02-1980;21656;146;1935
01-03-1980;9691;164;311
01-04-1980;4919;280;21
01-05-1980;4024;681;8
01-06-1980;9585;3076;24
01-07-1980;27363;5139;826
01-08-1980;43695;5693;967
01-09-1980;28433;3740;40
01-10-1980;10953;1931;25
01-11-1980;5927;336;26
01-12-1980;5095;334;24
01-01-1981;4063;238;28
01-02-1981;3154;205;26
01-03-1981;2399;139;34
01-04-1981;2914;286;33
01-05-1981;3072;974;26
01-06-1981;7056;3147;45
01-07-1981;28079;5323;464
01-08-1981;31328;5273;640
01-09-1981;21133;3401;26
01-10-1981;8695;951;29
01-11-1981;6536;397;32
01-12-1981;4540;270;30
01-01-1982;3553;208;33
01-02-1982;2948;176;32
01-03-1982;2716;150;149
01-04-1982;2178;327;36
01-05-1982;2610;865;46
01-06-1982;7728;2989;34
01-07-1982;14143;4335;51
01-08-1982;32585;4288;875
01-09-1982;26183;3037;23
01-10-1982;9690;1080;26
01-11-1982;6074;368;26
01-12-1982;5763;347;32
01-01-1983;3729;221;33
01-02-1983;2299;159;31
01-03-1983;1731;119;32
01-04-1983;1536;75;46
01-05-1983;2877;1117;29
01-06-1983;4976;2201;25
01-07-1983;17216;4545;133
01-08-1983;27566;5219;1518
01-09-1983;32852;3816;470
01-10-1983;18214;2632;18
01-11-1983;7052;648;27
01-12-1983;6815;428;25
01-01-1984;4131;252;26
01-02-1984;4033;175;26
01-03-1984;2453;113;26
01-04-1984;1772;161;26
01-05-1984;2849;911;27
01-06-1984;13537;2275;30
01-07-1984;27764;5297;387
01-08-1984;30989;5142;485
01-09-1984;29956;4411;284
01-10-1984;10077;2013;21
01-11-1984;5622;361;23
01-12-1984;4421;395;26
01-01-1985;3866;248;29
01-02-1985;2977;172;27
01-03-1985;2244;172;29
01-04-1985;1885;226;30
01-05-1985;2393;782;29
01-06-1985;5974;2743;26
01-07-1985;23037;5774;672
01-08-1985;32358;4625;1175
01-09-1985;29408;4225;277
01-10-1985;27752;3649;219
01-11-1985;9375;1456;18
01-12-1985;6441;625;24
01-01-1986;5009;290;22
01-02-1986;4839;169;25
01-03-1986;3476;110;32
01-04-1986;2385;145;26
01-05-1986;2708;542;30
01-06-1986;6981;2097;31
01-07-1986;28012;4907;253
01-08-1986;31090;3599;626
01-09-1986;21762;3980;25
01-10-1986;14064;2340;29
01-11-1986;6075;480;19
01-12-1986;6005;378;24
01-01-1987;3794;222;27
01-02-1987;3070;158;26
01-03-1987;2499;144;26
01-04-1987;2376;266;26
01-05-1987;2742;806;25
01-06-1987;6758;2882;27
01-07-1987;17455;5028;23
01-08-1987;34514;6412;174
01-09-1987;31256;4269;42
01-10-1987;13606;2671;20
01-11-1987;6676;1153;27
01-12-1987;6299;550;27
01-01-1988;3814;270;27
01-02-1988;2987;176;29
01-03-1988;2503;178;29
01-04-1988;2006;235;29
01-05-1988;2736;1047;30
01-06-1988;6536;2327;17
01-07-1988;25052;4579;842
01-08-1988;44277;6774;1674
01-09-1988;24199;4861;471
01-10-1988;10732;1444;22
01-11-1988;5931;366;17
01-12-1988;4411;350;19
01-01-1989;3868;259;19
01-02-1989;2506;189;21
01-03-1989;2347;160;22
01-04-1989;1851;180;23
01-05-1989;3556;1136;23
01-06-1989;8704;3367;21
01-07-1989;18754;4234;151
01-08-1989;28305;5214;1193
01-09-1989;22602;4287;428
01-10-1989;11648;2344;13
01-11-1989;5541;494;16
01-12-1989;5602;487;23
01-01-1990;3535;218;26
01-02-1990;2539;153;21
01-03-1990;2035;168;24
01-04-1990;1849;305;24
01-05-1990;3300;1580;19
01-06-1990;8449;3893;22
01-07-1990;28312;5453;781
01-08-1990;32899;5090;1362
01-09-1990;24205;3427;311
01-10-1990;12081;1865;15
01-11-1990;5586;346;23
01-12-1990;6637;447;18
01-01-1991;3333;233;19
01-02-1991;2189;163;22
01-03-1991;1785;137;23
01-04-1991;2082;215;23
01-05-1991;3012;1519;24
01-06-1991;7119;3103;24
01-07-1991;15099;5410;28
01-08-1991;27878;4312;349
01-09-1991;25594;3951;31
01-10-1991;8663;1511;22
01-11-1991;5594;400;19
01-12-1991;4217;286;22
01-01-1992;3174;201;26
01-02-1992;2721;139;25
01-03-1992;1878;123;26
01-04-1992;1420;175;27
01-05-1992;1785;616;27
01-06-1992;3602;1887;23
01-07-1992;10699;3942;203
01-08-1992;23446;3674;1319
01-09-1992;19930;2903;212
01-10-1992;12320;1521;13
01-11-1992;5537;336;18
01-12-1992;4328;286;21
01-01-1993;2869;192;26
01-02-1993;1919;152;22
01-03-1993;1538;74;23
01-04-1993;1424;141;22
01-05-1993;2386;1047;23
01-06-1993;5891;2289;23
01-07-1993;14255;4120;500
01-08-1993;21897;4928;293
01-09-1993;29466;4103;629
01-10-1993;12319;2167;17
01-11-1993;6017;407;20
01-12-1993;6347;462;20
01-01-1994;3594;230;22
01-02-1994;2919;190;23
01-03-1994;2015;156;24
01-04-1994;1666;186;23
01-05-1994;2230;981;25
01-06-1994;8081;2971;22
01-07-1994;22591;4153;1071
01-08-1994;37455;4305;1536
01-09-1994;23711;3207;202
01-10-1994;8946;919;10
01-11-1994;5898;398;18
01-12-1994;4506;243;17
01-01-1995;2863;179;20
01-02-1995;2800;138;18
01-03-1995;2314;113;20
01-04-1995;1998;173;20
01-05-1995;3093;1775;20
01-06-1995;7398;3824;20
01-07-1995;19729;5510;434
01-08-1995;31460;5033;1622
01-09-1995;25649;3372;1101
01-10-1995;9965;1668;21
01-11-1995;6690;596;8
01-12-1995;4393;396;19
01-01-1996;4844;256;17
01-02-1996;3290;159;17
01-03-1996;2153;145;21
01-04-1996;1684;216;21
01-05-1996;2642;1320;20
01-06-1996;6807;3022;71
01-07-1996;20618;5717;84
01-08-1996;36810;5497;1591
01-09-1996;24918;3898;563
01-10-1996;12692;1701;19
01-11-1996;6128;400;11
01-12-1996;5565;431;19
01-01-1997;3547;201;18
01-02-1997;2777;147;18
01-03-1997;1982;111;21
01-04-1997;1885;138;23
01-05-1997;2346;925;23
01-06-1997;5730;2635;35
01-07-1997;23532;5497;269
01-08-1997;25424;4586;625
01-09-1997;18275;3335;25
01-10-1997;8045;1396;33
01-11-1997;5387;400;30
01-12-1997;5868;249;32
01-01-1998;2937;154;27
