id,div_code,dist_code,upz_code,upz_name
1,10,1004,100409,Amtali
2,10,1004,100419,Bamna
3,10,1004,100428,Barguna Sadar
4,10,1004,100447,Betagi
5,10,1004,100485,Patharghata
6,10,1006,100602,Agailjhara
7,10,1006,100603,Babuganj
8,10,1006,100607,Bakerganj
9,10,1006,100610,Banari Para
10,10,1006,100632,Gaurnadi
11,10,1006,100636,Hizla
12,10,1006,100651,Barisal Sadar (Kotwali)
13,10,1006,100662,Mehendiganj
14,10,1006,100669,Muladi
15,10,1006,100694,Wazirpur
16,10,1009,100918,Bhola Sadar
17,10,1009,100921,Burhanuddin
18,10,1009,100925,Char Fasson
19,10,1009,100929,Daulatkhan
20,10,1009,100954,Lalmohan
21,10,1009,100965,Manpura
22,10,1009,100991,Tazumuddin
23,10,1042,104240,Jhalokati Sadar
24,10,1042,104243,Kanthalia
25,10,1042,104273,Nalchity
26,10,1042,104284,Rajapur
27,10,1078,107838,Bauphal
28,10,1078,107852,Dashmina
29,10,1078,107855,Dumki
30,10,1078,107857,Galachipa
31,10,1078,107866,Kala Para
32,10,1078,107876,Mirzaganj
33,10,1078,107895,Patuakhali Sadar
34,10,1079,107914,Bhandaria
35,10,1079,107947,Kawkhali
36,10,1079,107958,Mathbaria
37,10,1079,107976,Nazirpur
38,10,1079,107980,Pirojpur Sadar
39,10,1079,107987,Nesarabad (Swarupkati)
40,10,1079,107990,Zianagar
41,20,2003,200304,Alikadam
42,20,2003,200314,Bandarban Sadar
43,20,2003,200351,Lama
44,20,2003,200373,Naikhongchhari
45,20,2003,200389,Rowangchhari
46,20,2003,200391,Ruma
47,20,2003,200395,Thanchi
48,20,2012,201202,Akhaura
49,20,2012,201204,Banchharampur
50,20,2012,201207,Bijoynagar
51,20,2012,201213,Brahmanbaria Sadar
52,20,2012,201233,Ashuganj
53,20,2012,201263,Kasba
54,20,2012,201285,Nabinagar
55,20,2012,201290,Nasirnagar
56,20,2012,201294,Sarail
57,20,2013,201322,Chandpur Sadar
58,20,2013,201345,Faridganj
59,20,2013,201347,Haim Char
60,20,2013,201349,Hajiganj
61,20,2013,201358,Kachua
62,20,2013,201376,Matlab Dakshin
63,20,2013,201379,Matlab Uttar
64,20,2013,201395,Shahrasti
65,20,2015,201504,Anowara
66,20,2015,201506,Bayejid Bostami
67,20,2015,201508,Banshkhali
68,20,2015,201510,Bakalia
69,20,2015,201512,Boalkhali
70,20,2015,201518,Chandanaish
71,20,2015,201519,Chandgaon
72,20,2015,201520,Chittagong Port
73,20,2015,201528,Double Mooring
74,20,2015,201533,Fatikchhari
75,20,2015,201535,Halishahar
76,20,2015,201537,Hathazari
77,20,2015,201541,Kotwali
78,20,2015,201543,Khulshi
79,20,2015,201547,Lohagara
80,20,2015,201553,Mirsharai
81,20,2015,201555,Pahartali
82,20,2015,201557,Panchlaish
83,20,2015,201561,Patiya
84,20,2015,201565,Patenga
85,20,2015,201570,Rangunia
86,20,2015,201574,Raozan
87,20,2015,201578,Sandwip
88,20,2015,201582,Satkania
89,20,2015,201586,Sitakunda
90,20,2019,201909,Barura
91,20,2019,201915,Brahman Para
92,20,2019,201918,Burichang
93,20,2019,201927,Chandina
94,20,2019,201931,Chauddagram
95,20,2019,201933,Comilla Sadar Dakshin
96,20,2019,201936,Daudkandi
97,20,2019,201940,Debidwar
98,20,2019,201954,Homna
99,20,2019,201967,Comilla Adarsha Sadar
100,20,2019,201972,Laksam
101,20,2019,201974,Manoharganj
102,20,2019,201975,Meghna
103,20,2019,201981,Muradnagar
104,20,2019,201987,Nangalkot
105,20,2019,201994,Titas
106,20,2022,202216,Chakaria
107,20,2022,202224,Cox'S Bazar Sadar
108,20,2022,202245,Kutubdia
109,20,2022,202249,Maheshkhali
110,20,2022,202256,Pekua
111,20,2022,202266,Ramu
112,20,2022,202290,Teknaf
113,20,2022,202294,Ukhia
114,20,2030,203014,Chhagalnaiya
115,20,2030,203025,Daganbhuiyan
116,20,2030,203029,Feni Sadar
117,20,2030,203041,Fulgazi
118,20,2030,203051,Parshuram
119,20,2030,203094,Sonagazi
120,20,2046,204643,Dighinala
121,20,2046,204649,Khagrachhari Sadar
122,20,2046,204661,Lakshmichhari
123,20,2046,204665,Mahalchhari
124,20,2046,204667,Manikchhari
125,20,2046,204670,Matiranga
126,20,2046,204677,Panchhari
127,20,2046,204680,Ramgarh
128,20,2051,205133,Kamalnagar
129,20,2051,205143,Lakshmipur Sadar
130,20,2051,205158,Roypur
131,20,2051,205165,Ramganj
132,20,2051,205173,Ramgati
133,20,2075,207507,Begumganj
134,20,2075,207510,Chatkhil
135,20,2075,207521,Companiganj
136,20,2075,207536,Hatiya
137,20,2075,207547,Kabirhat
138,20,2075,207580,Senbagh
139,20,2075,207583,Sonaimuri
140,20,2075,207585,Subarnachar
141,20,2075,207587,Noakhali Sadar (Sudharam)
142,20,2084,208407,Baghai Chhari
143,20,2084,208421,Barkal
144,20,2084,208425,Kawkhali (Betbunia)
145,20,2084,208429,Belai Chhari
146,20,2084,208436,Kaptai
147,20,2084,208447,Jurai Chhari
148,20,2084,208458,Langadu
149,20,2084,208475,Naniarchar
150,20,2084,208478,Rajasthali
151,20,2084,208487,Rangamati Sadar
152,30,3026,302602,Adabor
153,30,3026,302604,Badda
154,30,3026,302605,Bangshal
155,30,3026,302606,Biman Bandar
156,30,3026,302608,Cantonment
157,30,3026,302609,Chak Bazar
158,30,3026,302610,Dakshinkhan
159,30,3026,302611,Darus Salam
160,30,3026,302612,Demra
